slot,L,S_std,I_std,R_std
239,3,2.644964332945817,1.9418876540742376,4.586851987020054
239,5,3.142385224763465,1.7852466848707027,4.927631909634168
319,3,1.6203149846365292,-1.556937152752612,0.0633778318839173
319,5,1.6009681278794887,-1.6157716617861844,-0.0148035339066955
