epoch,mem_total_kib,mem_available_kib,gpu_memory_used_mib,gpu_utilization_pct
1787374266,2113418768,507315512,4,0
1787374268,2113418768,506812664,4,0
1787374271,2113418768,507201304,4,0
1787374273,2113418768,506103524,4,0
1787374275,2113418768,506815076,4,0
1787374277,2113418768,506640152,4,0
1787374279,2113418768,506573792,4,0
1787374281,2113418768,506286860,4,0
1787374284,2113418768,505493760,620,0
1787374286,2113418768,503943428,620,0
1787374288,2113418768,502942704,620,0
1787374290,2113418768,500617236,620,0
1787374292,2113418768,498268044,620,0
1787374294,2113418768,497008024,620,0
1787374296,2113418768,494741904,620,0
1787374299,2113418768,492821772,620,0
1787374301,2113418768,491272120,620,0
1787374303,2113418768,489245452,620,0
1787374305,2113418768,486919284,620,0
1787374307,2113418768,493548300,5162,6
1787374309,2113418768,501365284,10176,0
1787374311,2113418768,499437128,10176,0
1787374314,2113418768,497529024,10176,0
1787374316,2113418768,495988960,10176,0
1787374318,2113418768,493980416,10176,0
1787374320,2113418768,491949364,10176,0
1787374322,2113418768,489842908,10176,0
1787374324,2113418768,487794740,10176,0
1787374326,2113418768,485822552,10176,0
1787374329,2113418768,483954688,10176,0
1787374331,2113418768,482179128,10176,0
1787374333,2113418768,480193716,10176,0
1787374335,2113418768,478328156,10176,0
1787374337,2113418768,493096308,17764,8
1787374339,2113418768,500421732,21014,0
1787374341,2113418768,498563100,21014,0
1787374343,2113418768,500259460,22370,0
1787374346,2113418768,500232960,22370,0
1787374348,2113418768,499375036,22442,1
1787374350,2113418768,496229368,24486,0
1787374352,2113418768,491373068,24486,0
1787374354,2113418768,487435416,24486,23
1787374356,2113418768,499023600,24638,4
1787374358,2113418768,498967376,24754,0
1787374361,2113418768,498952396,25082,4
1787374363,2113418768,498902172,25202,24
1787374365,2113418768,498877492,25338,1
1787374367,2113418768,498853736,25780,0
1787374369,2113418768,498856936,25860,2
1787374371,2113418768,498693784,25982,23
1787374373,2113418768,498018636,26116,0
1787374375,2113418768,497953816,26510,0
1787374378,2113418768,498042684,26552,80
1787374380,2113418768,498030020,26554,80
1787374382,2113418768,498751580,26554,9
1787374384,2113418768,497612708,26864,0
1787374386,2113418768,497636052,27442,0
1787374388,2113418768,497567856,30208,2
1787374390,2113418768,497486604,30274,54
1787374393,2113418768,497444652,30274,0
1787374395,2113418768,497403656,30274,100
1787374397,2113418768,497815372,26727,6
