step,control_raw,dvac_raw,control_roll5,dvac_roll5,control_roll10,dvac_roll10,control_eval,dvac_eval
1,0.69140625,0.8125,0.69140625,0.8125,0.69140625,0.8125,,
2,0.70703125,0.62109375,0.69921875,0.716796875,0.69921875,0.716796875,,
3,0.75,0.7578125,0.7161458333333334,0.73046875,0.7161458333333334,0.73046875,,
4,0.7421875,0.796875,0.72265625,0.7470703125,0.72265625,0.7470703125,,
5,0.86328125,0.85546875,0.75078125,0.76875,0.75078125,0.76875,0.875,0.84375
6,0.89453125,0.8984375,0.79140625,0.7859375,0.7747395833333334,0.7903645833333334,,
7,0.75390625,0.84765625,0.80078125,0.83125,0.7717633928571429,0.7985491071428571,,
8,0.7734375,0.90234375,0.80546875,0.86015625,0.77197265625,0.8115234375,,
9,0.8359375,0.84375,0.82421875,0.86953125,0.7790798611111112,0.8151041666666666,,
10,0.82421875,0.8671875,0.81640625,0.871875,0.78359375,0.8203125,0.90625,0.96875
11,0.8203125,0.86328125,0.8015625,0.86484375,0.796484375,0.825390625,,
12,0.765625,0.87109375,0.80390625,0.86953125,0.80234375,0.850390625,,
13,0.74609375,0.765625,0.7984375,0.8421875,0.801953125,0.851171875,,
14,0.82421875,0.87890625,0.79609375,0.84921875,0.81015625,0.859375,,
15,0.71875,0.875,0.775,0.85078125,0.795703125,0.861328125,0.84375,0.90625
16,0.7421875,0.9296875,0.759375,0.8640625,0.78046875,0.864453125,,
17,0.8125,0.84765625,0.76875,0.859375,0.786328125,0.864453125,,
18,0.74609375,0.921875,0.76875,0.890625,0.78359375,0.86640625,,
19,0.80859375,0.94140625,0.765625,0.903125,0.780859375,0.876171875,,
20,0.87109375,0.94921875,0.79609375,0.91796875,0.785546875,0.884375,0.9375,0.9375
21,0.72265625,0.875,0.7921875,0.90703125,0.77578125,0.885546875,,
22,0.85546875,0.90234375,0.80078125,0.91796875,0.784765625,0.888671875,,
23,0.87109375,0.9296875,0.82578125,0.91953125,0.797265625,0.905078125,,
24,0.8125,0.80859375,0.8265625,0.89296875,0.79609375,0.898046875,,
25,0.890625,0.9453125,0.83046875,0.8921875,0.81328125,0.905078125,0.9375,0.90625
26,0.81640625,0.86328125,0.84921875,0.88984375,0.820703125,0.8984375,,
27,0.94140625,0.8984375,0.86640625,0.8890625,0.83359375,0.903515625,,
28,0.91015625,0.90625,0.87421875,0.884375,0.85,0.901953125,,
29,0.91796875,0.87109375,0.8953125,0.896875,0.8609375,0.894921875,,
30,0.86328125,0.85546875,0.88984375,0.87890625,0.86015625,0.885546875,0.9375,0.9375
31,0.92578125,0.93359375,0.91171875,0.89296875,0.88046875,0.89140625,,
32,0.890625,0.953125,0.9015625,0.90390625,0.883984375,0.896484375,,
33,0.8203125,0.90625,0.88359375,0.90390625,0.87890625,0.894140625,,
34,0.83203125,0.8828125,0.86640625,0.90625,0.880859375,0.9015625,,
35,0.8671875,0.8671875,0.8671875,0.90859375,0.878515625,0.89375,0.9375,0.875
36,0.8984375,0.93359375,0.86171875,0.90859375,0.88671875,0.90078125,,
37,0.94140625,0.9296875,0.871875,0.90390625,0.88671875,0.90390625,,
38,0.9296875,0.88671875,0.89375,0.9,0.888671875,0.901953125,,
39,0.89453125,0.87890625,0.90625,0.89921875,0.886328125,0.902734375,,
40,0.9140625,0.87890625,0.915625,0.9015625,0.89140625,0.905078125,0.90625,0.9375
41,0.9296875,0.9296875,0.921875,0.90078125,0.891796875,0.9046875,,
42,0.84375,0.85546875,0.90234375,0.8859375,0.887109375,0.894921875,,
43,0.92578125,0.9375,0.9015625,0.89609375,0.89765625,0.898046875,,
44,0.83984375,0.77734375,0.890625,0.87578125,0.8984375,0.8875,,
45,0.85546875,0.89453125,0.87890625,0.87890625,0.897265625,0.890234375,0.96875,0.96875
46,0.91015625,0.85546875,0.875,0.8640625,0.8984375,0.882421875,,
47,0.921875,0.953125,0.890625,0.88359375,0.896484375,0.884765625,,
48,0.91015625,0.8828125,0.8875,0.87265625,0.89453125,0.884375,,
49,0.8671875,0.8828125,0.89296875,0.89375,0.891796875,0.884765625,,
50,0.95703125,0.91015625,0.91328125,0.896875,0.89609375,0.887890625,0.9375,0.96875
51,0.921875,0.89453125,0.915625,0.9046875,0.8953125,0.884375,,
52,0.95703125,0.9453125,0.92265625,0.903125,0.906640625,0.893359375,,
