timestamp,memory_used_mib,utilization_gpu_pct
2026-09-02T15:59:43+00:00,0, 0
2026-09-02T15:59:48+00:00,0, 0
2026-09-02T15:59:53+00:00,0, 0
2026-09-02T15:59:58+00:00,4, 0
2026-09-02T16:00:04+00:00,4, 0
2026-09-02T16:00:09+00:00,4, 0
2026-09-02T16:00:14+00:00,4, 0
2026-09-02T16:00:19+00:00,4, 0
2026-09-02T16:00:24+00:00,4, 0
2026-09-02T16:00:29+00:00,4, 0
2026-09-02T16:00:34+00:00,4, 0
2026-09-02T16:00:39+00:00,4, 0
2026-09-02T16:00:44+00:00,4, 0
2026-09-02T16:00:50+00:00,4, 0
2026-09-02T16:00:55+00:00,4, 0
2026-09-02T16:01:00+00:00,4, 0
2026-09-02T16:01:05+00:00,4, 0
2026-09-02T16:01:10+00:00,4, 0
2026-09-02T16:01:15+00:00,4, 0
2026-09-02T16:01:20+00:00,4, 0
2026-09-02T16:01:25+00:00,4, 0
2026-09-02T16:01:31+00:00,4, 0
2026-09-02T16:01:36+00:00,2213, 15
2026-09-02T16:01:41+00:00,9675, 0
2026-09-02T16:01:46+00:00,9997, 1
2026-09-02T16:01:51+00:00,10403, 0
2026-09-02T16:01:57+00:00,11001, 0
2026-09-02T16:02:02+00:00,11313, 2
2026-09-02T16:02:07+00:00,11739, 0
