timestamp,wrapper_alive,host_mem_available_kib,swap_free_kib,mem_psi_some_avg10,gpu7_used_mib,gpu7_util_pct,gpu7_temp_c,env_open_fds,env_rss_kib,actor_rss_kib,rollout_rss_kib
2026-09-07T05:04:56.258204+00:00,1,1163489068,79380,0.00,10,0,45,,,,
2026-09-07T05:05:01.359024+00:00,1,1158054856,79380,0.00,10,0,45,,,,
2026-09-07T05:05:06.499577+00:00,1,1153977356,79636,0.00,10,0,45,,,,
2026-09-07T05:05:11.623782+00:00,1,1149833224,79636,0.00,10,0,45,,,,
2026-09-07T05:05:16.760416+00:00,1,1147735432,79636,0.00,532,0,46,91,1172948,,1703824
2026-09-07T05:05:21.881267+00:00,1,1143148084,79636,0.00,1190,4,46,222,1865652,,3349524
2026-09-07T05:05:27.012788+00:00,1,1146573456,79636,0.00,1194,5,47,222,1971872,,7136516
2026-09-07T05:05:32.137120+00:00,1,1145411608,79636,0.00,1202,0,47,229,1973272,,12148920
2026-09-07T05:05:37.267173+00:00,1,1140344300,79636,0.00,1152,0,47,147,1772532,,13160596
2026-09-07T05:05:42.383961+00:00,1,1136085832,79636,0.00,1172,0,47,209,1882664,,15195468
2026-09-07T05:05:47.495779+00:00,1,1133676480,79636,0.00,1152,0,47,208,1785856,,15862088
2026-09-07T05:05:52.626787+00:00,1,1131667804,79636,0.00,1157,0,47,219,1803152,,12544696
2026-09-07T05:05:57.753983+00:00,1,1134203628,79636,0.00,5085,15,47,140,1741540,,6973068
2026-09-07T05:06:02.879169+00:00,1,1132204748,79636,0.00,1673,0,47,140,1741540,1591336,9505852
2026-09-07T05:06:07.980069+00:00,1,1131244400,79636,0.00,1673,0,47,140,1741580,2247624,9505864
2026-09-07T05:06:13.140168+00:00,1,1126283204,79636,0.00,1673,0,47,140,1741580,4186472,9505984
2026-09-07T05:06:18.259290+00:00,1,1126778320,79636,0.00,1673,0,47,140,1741596,8931356,9505984
2026-09-07T05:06:23.364433+00:00,1,1127851576,79636,0.00,1673,0,48,140,1741596,13273132,9505984
2026-09-07T05:06:28.490412+00:00,1,1117375720,79636,0.00,1673,0,48,140,1741596,13273144,9505984
2026-09-07T05:06:33.618597+00:00,1,1108122940,79636,0.00,1673,0,48,140,1741596,15330404,9505984
