h,weight_p05,weight_p50,weight_mean,weight_p95,clipped_z_p05,clipped_z_p50,clipped_z_mean,clipped_z_p95,log_v_l3_p05,log_v_l3_p50,log_v_l3_mean,log_v_l3_p95,weight_below_one_fraction,weight_above_one_fraction,weight_at_zero_fraction,weight_at_two_fraction
0,0.48962154388427737,0.7936922311782837,0.8233711898326874,1.192150169610977,-1.0207569122314453,-0.4126155227422714,-0.35325762346419654,0.38430030941963195,-4.685860211782986,-4.371011117757913,-4.340280006444675,-3.958428699848774,0.75,0.25,0.0,0.0
1,0.4937707155942917,0.8555426001548767,0.8639601975679397,1.2915608763694761,-1.0124585688114167,-0.2889148145914078,-0.27207960865925995,0.5831216931343077,-4.68156424643642,-4.306968221219673,-4.298252233502744,-3.855494162759491,0.725,0.275,0.0,0.0
2,0.3715006947517395,0.8299325406551361,0.8534091725945473,1.3459204256534576,-1.256998610496521,-0.3401349186897278,-0.293181661888957,0.6918409138917921,-4.808168191593756,-4.333486096072972,-4.309177248949942,-3.799207654599618,0.7125,0.2875,0.0,0.0
3,0.3805191904306412,0.883003443479538,0.8879710517823696,1.3820691704750059,-1.2389616191387176,-0.23399310559034348,-0.2240578920696862,0.7641383409500117,-4.798830275692381,-4.278533956920718,-4.272623991464181,-3.761777458980192,0.625,0.375,0.0,0.0125
4,0.44169263541698456,0.8457882404327393,0.9024202398955822,1.45203104019165,-1.1166147291660309,-0.3084235340356827,-0.1951595258564339,0.9040619611740108,-4.735488376596064,-4.317068287492916,-4.256731790594649,-3.68933575023425,0.675,0.325,0.0,0.0125
5,0.467167267203331,0.8538371026515961,0.9234976343810558,1.5599464416503905,-1.065665465593338,-0.29232583940029144,-0.1530047234533413,1.1198928833007809,-4.709110751740224,-4.3087341389012135,-4.235180428581836,-3.577594759378528,0.6,0.4,0.0,0.0125
6,0.4117829442024231,0.9434607625007629,0.9750214062631131,1.6531814813613892,-1.1764341115951538,-0.1130785122513771,-0.049957190989516675,1.3063630759716034,-4.766458167666573,-4.215933550729294,-4.1832541471044795,-3.481054754363006,0.55,0.45,0.0,0.0
7,0.3778485983610153,0.942901223897934,0.9744883425533771,1.8055823624134064,-1.2443028032779693,-0.11419755965471268,-0.05102331624075305,1.6111646115779876,-4.8015954824866185,-4.216512955974263,-4.178511010180903,-3.3232518176161974,0.55,0.45,0.0,0.025
8,0.41012220680713657,0.9918466210365295,1.0209729298949242,1.8644921481609342,-1.179755586385727,-0.016306766076013446,0.04194585783989169,1.7289841830730432,-4.7681778451816,-4.1658323799217065,-4.124457815297648,-3.2622538601864237,0.5125,0.4875,0.0,0.0375
9,0.40116675794124607,0.9372668266296387,1.0390761539340019,2.0,-1.197666484117508,-0.12546630948781967,0.07815231219574344,2.0,-4.777450480128662,-4.222347138186669,-4.095855327099868,-2.9862959320557474,0.55,0.45,0.0125,0.0875
10,0.40149495005607605,0.9877758920192719,1.0503823012113571,2.0,-1.197010099887848,-0.024448176845908165,0.10076460377313197,2.0,-4.777111031117669,-4.170047408127503,-4.071062206106002,-2.9257993122736097,0.5,0.5,0.0,0.075
11,0.49123238325119023,1.0610145330429077,1.1018918111920357,2.0,-1.0175352334976195,0.12202904373407364,0.20378361308248713,2.0,-4.684192482096723,-4.094212675674838,-4.0167284331459285,-2.944534996843619,0.475,0.525,0.0125,0.075
12,0.48852995336055755,1.0906577110290527,1.1469487078487872,2.0,-1.0229400932788848,0.18131548911333084,0.2938974194345064,2.0,-4.6869906602627935,-4.063518599129051,-3.96556375585088,-3.101101162386935,0.4625,0.5375,0.0,0.0625
13,0.4015544533729553,1.0439002513885498,1.1250178061425686,2.0,-1.1968910932540893,0.08780049160122871,0.25003561605640245,2.0,-4.777048984253798,-4.111933611561765,-3.990093904556301,-3.0973659021203424,0.425,0.575,0.0,0.0625
14,0.4579640567302704,1.074716866016388,1.1598556391894816,2.0,-1.0840718865394592,0.1494337096810341,0.31971128810109806,2.0,-4.718639867671804,-4.08002467329435,-3.942260661713816,-2.983182803434335,0.425,0.575,0.0,0.1
15,0.4727679580450058,1.0178918242454529,1.1551981195807457,2.0,-1.0544640839099884,0.03578370437026024,0.31039624015102163,2.0,-4.703311477785744,-4.138863932340753,-3.946848378151435,-2.9360688075320036,0.45,0.55,0.0,0.1125
16,0.5175122350454331,1.0746512413024902,1.1549553520977498,2.0,-0.9649755299091339,0.14930246770381927,0.3099107001442462,2.0,-4.6569811135139165,-4.080092661701466,-3.9226277502063347,-2.615650329139885,0.4,0.6,0.0,0.1125
17,0.5610982924699783,1.059027373790741,1.1905611589550973,2.0,-0.877803412079811,0.1180548183619976,0.3811223254306242,2.0,-4.611849698625611,-4.096270437485606,-3.873207069505534,-2.532113441942511,0.4,0.6,0.0,0.1125
18,0.47500217258930205,1.1043453812599182,1.1862512439489366,2.0,-1.0499956548213958,0.20869068801403046,0.3725024867104366,2.0,-4.700997808780036,-4.049345980102892,-3.873699734680492,-2.389436262888766,0.35,0.65,0.0,0.1125
19,0.5209806323051452,1.132730782032013,1.1829246565699578,2.0,-0.958038792014122,0.26546158641576767,0.3658493032460683,2.0,-4.653389520461733,-4.0199543619593525,-3.8665411183660323,-2.2081604425750787,0.4125,0.5875,0.0,0.125
20,0.5203369677066803,1.1900938153266907,1.2009146064519882,2.0,-0.9593261241912842,0.3801875710487366,0.40182921844534575,2.0,-4.654055965980348,-3.960557999732658,-3.8372840522612237,-1.9455351042767197,0.3125,0.6875,0.0,0.1
21,0.4911095529794693,1.2633546590805054,1.2204540528357029,2.0,-1.0177808940410613,0.5267092287540436,0.4409081037621945,2.0,-4.684319535949366,-3.884700184708165,-3.8255748290997076,-2.088397535748227,0.3875,0.6125,0.0,0.1125
22,0.5098508298397064,1.1001861691474915,1.1909409485757352,2.0,-0.9802982836961747,0.20037244260311127,0.3818818903557258,2.0,-4.6649139281540055,-4.053652378502138,-3.846300467218275,-2.114885921690076,0.4,0.6,0.0,0.125
23,0.4011834055185318,1.1802465319633484,1.172880008071661,2.0,-1.1976331889629364,0.3604930490255356,0.3457600149384234,2.0,-4.777433579215981,-3.97075430398228,-3.875173698311163,-2.307034706693436,0.4125,0.5875,0.0,0.125
24,0.45663534104824066,1.1753668785095215,1.2202458702027799,2.0,-1.0867293179035187,0.35073384642601013,0.4404917345382273,2.0,-4.720015850405282,-3.975806796062872,-3.8332467382019786,-2.2671317134578683,0.375,0.625,0.0,0.1125
25,0.4321384817361832,1.0803911089897156,1.177937912940979,2.0,-1.1357230365276336,0.1607821360230446,0.35587582155130804,2.0,-4.745381275086471,-4.07414932975821,-3.8860568261951607,-2.365872546872875,0.45,0.55,0.0,0.125
26,0.5728450983762741,1.152054786682129,1.2101681612432003,2.0,-0.8543098002672196,0.30410967767238617,0.42033631415106354,2.0,-4.599686450874735,-3.999945247470308,-3.858416595173529,-2.454134212001046,0.325,0.675,0.0,0.1125
27,0.4900976359844208,1.213548719882965,1.2061686597764492,2.0,-1.0198047280311584,0.42709749937057495,0.41233732155524194,2.0,-4.68536739633568,-3.9362714622952257,-3.8685580301611395,-2.395319599916486,0.3875,0.6125,0.0,0.1
28,0.4489558428525925,1.1186914443969727,1.1604575864970683,2.0,-1.102088314294815,0.2373829483985901,0.32091517618391663,2.0,-4.7279674361984325,-4.0344913522755315,-3.9239023183355193,-2.3404029231047785,0.4,0.6,0.0,0.075
29,0.5292591542005539,1.0591137409210205,1.1712196692824364,2.0,-0.94148168861866,0.1182275079190731,0.34243934424594047,2.0,-4.644817777900125,-4.096180926199976,-3.923437638465882,-2.5802139316938364,0.4,0.6,0.0,0.075
30,0.4540619164705276,1.125358521938324,1.159353994578123,2.0,-1.0918761670589447,0.2507171034812927,0.31870798924937843,2.0,-4.722680468215481,-4.027587738725,-3.946361055769068,-2.7866348950278534,0.3625,0.6375,0.0,0.075
31,0.48547765910625457,1.1689776182174683,1.1926373697817325,2.0,-1.0290446817874908,0.3379553109407425,0.38527474270667883,2.0,-4.690150956822012,-3.982422601199126,-3.9300284736949855,-2.937250339473168,0.325,0.675,0.0,0.1
32,0.4331907868385315,1.149917483329773,1.171864526718855,2.0,-1.133618426322937,0.2998349666595459,0.34372904533520343,2.0,-4.744291413591882,-4.0021583030426635,-3.9542645321609156,-2.886721938663546,0.4,0.6,0.0,0.0625
33,0.4387652575969696,1.1961093544960022,1.2138766832649708,2.0,-1.1224694848060608,0.3922187089920044,0.4277533732354641,2.0,-4.738519223087896,-3.954329157790257,-3.9078399177904934,-2.939007462991296,0.325,0.675,0.0,0.0875
34,0.42068152129650116,1.1980862021446228,1.2366704396903514,2.0,-1.1586369574069977,0.3961724489927292,0.4733408881351352,2.0,-4.757244231281019,-3.952282224524306,-3.8745476096929274,-2.9595981854755316,0.325,0.675,0.0,0.075
35,0.5135510772466659,1.307283639907837,1.250977273285389,2.0,-0.9728978455066681,0.6145672798156738,0.5019545348943211,2.0,-4.661082417726242,-3.839213957942749,-3.8677439432633407,-3.0602290953732965,0.2875,0.7125,0.0,0.075
36,0.6105278849601745,1.247322916984558,1.2600312851369382,2.0,-0.7789442270994187,0.49464577436447144,0.5200625662691891,2.0,-4.560668015151118,-3.9013002168628512,-3.85361859126769,-3.080098436282062,0.3375,0.6625,0.0,0.075
37,0.4166787326335907,1.2143674492835999,1.2575515076518058,2.0,-1.1666425347328186,0.4287348538637161,0.5151030162815005,2.0,-4.761388573578607,-3.935423761648753,-3.852396859864187,-3.0271614667948126,0.25,0.75,0.0,0.075
38,0.5382863402366638,1.3004314303398132,1.2819737203419208,2.0,-0.9234273731708527,0.6008628904819489,0.5639474489726126,2.0,-4.635470618041951,-3.846308965003563,-3.8141978931485654,-2.622946886354341,0.3125,0.6875,0.0,0.1125
39,0.5418241143226623,1.2691150307655334,1.2946806840598584,2.0,-0.9163518249988556,0.5382301211357117,0.5893613766762428,2.0,-4.631807532114485,-3.8787356191183644,-3.7887065698171867,-2.6176159793477987,0.2875,0.7125,0.0,0.15
40,0.503165990114212,1.3419528007507324,1.3306904457509519,2.0,-0.9936680763959884,0.6839056015014648,0.6613808890338987,2.0,-4.671835938050402,-3.8033159180780816,-3.745650446535638,-2.5229062951033727,0.2625,0.7375,0.0,0.1625
41,0.5216821253299713,1.230387568473816,1.2997295036911964,2.0,-0.9566358059644698,0.46077506244182587,0.5994590076676104,2.0,-4.652663124112598,-3.9188359048897836,-3.760901538669308,-2.2890460271535003,0.3125,0.6875,0.0,0.15
42,0.43541870415210726,1.38643217086792,1.3298650547862052,2.0,-1.1291625916957855,0.7728642821311951,0.6597301058878656,2.0,-4.741984372275682,-3.757259892579807,-3.7221567270054643,-2.409581605596544,0.275,0.725,0.0,0.225
