unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_total_mib,gpu0_util_pct,gpu0_mem_util_pct,gpu0_power_w,gpu1_used_mib,gpu1_total_mib,gpu1_util_pct,gpu1_mem_util_pct,gpu1_power_w,env_rss_kib,env_cpu_pct,actor_rss_kib,actor_cpu_pct,rollout_rss_kib,rollout_cpu_pct,driver_rss_kib,driver_cpu_pct,ray_rss_kib,ray_cpu_pct,matched_total_rss_kib,compute_process_count
1786166880,1.04046e+12,78365786112,13985554432,63628627968,0,0,155648,798512226304,4,81920,0,0,85.46,4,81920,0,0,83.99,2869296.00,162.40,1615796.00,122.80,3029200.00,198.70,3208,0.0,1112488.00,30.70,17701496.00,0
1786166882,1.04027e+12,78642778112,14258020352,63628697600,0,0,155648,798512226304,4,81920,0,0,83.91,4,81920,0,0,82.69,3185028.00,162.80,1616080.00,110.90,3109392.00,191.40,3208,0.0,1116328.00,28.80,18110812.00,0
1786166883,1.0394e+12,79474819072,15088033792,63628718080,0,0,155648,798512222208,19,81920,3,0,75.26,44,81920,3,0,67.29,3614796.00,157.20,1616080.00,92.40,4005144.00,198.60,3208,0.0,1116936.00,28.20,19376720.00,0
1786166885,1.03683e+12,81882099712,17472610304,63645495296,0,0,155648,798512222208,507,81920,0,0,71.88,473,81920,3,0,67.01,4308984.00,165.30,1616080.00,85.40,5856868.00,203.00,3208,0.0,1118712.00,27.50,22047816.00,4
1786166886,1.03604e+12,82675245056,18259775488,63645495296,0,0,155648,798512222208,507,81920,0,0,67.56,473,81920,0,0,67.01,4310804.00,173.90,1616080.00,74.10,6391416.00,194.30,3208,0.0,1119224.00,26.00,22500792.00,4
1786166887,1.03603e+12,82676666368,18260271104,63645495296,0,0,155648,798512222208,507,81920,0,0,67.23,473,81920,0,0,67.01,4310932.00,170.00,1616080.00,69.60,6391872.00,199.10,3208,0.0,1119248.00,25.60,22505068.00,4
1786166889,1.03599e+12,82704060416,18285621248,63649689600,0,0,155648,798512222208,585,81920,0,0,67.23,551,81920,0,0,67.01,4350368.00,176.10,1616080.00,65.50,6392336.00,202.00,3208,0.0,1119972.00,25.00,22543172.00,4
1786166890,1.03584e+12,82902695936,18491334656,63649673216,0,0,155648,798512222208,504,81920,1,0,67.23,503,81920,0,0,67.01,3878836.00,179.30,1616080.00,62.00,6999472.00,195.60,3208,0.0,1120040.00,23.80,22781100.00,2
1786166891,1.03373e+12,85013254144,20598095872,63649673216,0,0,155648,798512222208,504,81920,0,0,67.56,503,81920,0,0,67.96,3878916.00,161.50,1616080.00,55.80,9051072.00,198.50,3208,0.0,1120040.00,23.70,24840620.00,2
1786166893,1.03198e+12,86752096256,22326476800,63649673216,0,0,155648,798512222208,504,81920,0,0,67.23,503,81920,0,0,67.01,3879512.00,154.00,1616448.00,53.20,10570188.00,201.00,3208,0.0,1120280.00,23.30,26304340.00,2
