step	global_online_rows	policy_version	complete	total_bytes	total_gib	dcp_bytes	ogpo_sidecar_bytes
22	30959	1047	True	56921383028	53.01216899231076	11030466270	45890916758
43	60968	2548	True	98544636992	91.77684503793716	11030466270	87514170722
