wave,rows,elapsed_seconds,train_success_once,eval_success_once,ogpo/actor_updates,ogpo/critic_updates,ogpo/updates_run,ogpo/ratio,ogpo/actor_loss,ogpo/actor_grad_norm,ogpo/bc_loss,ogpo/critic_loss,ogpo/critic_grad_norm,ogpo/q_mean,ogpo/td_target_mean,generate_rollouts,actor/run_training,eval,step_seconds
1.0,1390.0,837.0,0.25,,0.0,0.0,0.0,,,,,,,,,528.9,0.449,,530.2
2.0,2735.0,1325.0,0.375,,0.0,0.0,0.0,,,,,,,,,487.0,0.445,,488.4
3.0,4050.0,1794.0,0.375,,0.0,0.0,0.0,,,,,,,,,467.0,0.45,,468.4
4.0,5563.0,2287.0,0.125,,0.0,0.0,0.0,,,,,,,,,492.1,0.457,,493.5
5.0,7076.0,2777.0,0.125,,0.0,0.0,0.0,,,,,,,,,488.5,0.457,,489.9
6.0,8676.0,3268.0,0.0,,0.0,0.0,0.0,,,,,,,,,489.7,0.462,,491.1
7.0,10088.0,4098.0,0.25,0.05,4.0,4.0,4.0,0.948,5.79e-07,1.206,0.115,15.038,172.8,-0.267,-0.354,489.7,49.498,289.4,829.5
8.0,11593.0,5523.0,0.125,,79.0,79.0,75.0,0.123,8.4e-08,0.707,0.089,0.097,5.032,-0.049,-0.054,522.9,901.5,,1425.3
9.0,12934.0,6807.0,0.375,,146.0,146.0,67.0,0.139,2.42e-06,0.344,0.057,0.014,1.393,0.012,0.012,472.2,809.1,,1283.9
10.0,14534.0,8290.0,0.0,,226.0,226.0,80.0,0.182,1.33e-05,0.258,0.044,0.01,1.046,0.024,0.024,516.5,963.7,,1482.6
11.0,16041.0,9715.0,0.125,,302.0,302.0,76.0,0.225,0.000101,0.248,0.04,0.0073,0.569,0.044,0.045,506.1,916.2,,1424.8
12.0,17447.0,11048.0,0.25,,372.0,372.0,70.0,0.335,0.000209,0.24,0.038,0.0085,0.68,0.059,0.06,483.9,847.1,,1333.4
13.0,18958.0,12468.0,0.125,,447.0,447.0,75.0,0.493,0.000209,0.209,0.034,0.0065,0.58,0.067,0.066,513.2,904.6,,1420.2
14.0,20360.0,14130.0,0.25,0.15,518.0,518.0,71.0,0.609,0.000208,0.208,0.034,0.0066,0.651,0.066,0.066,508.2,859.1,291.7,1661.2
15.0,21802.0,15483.0,0.25,,590.0,590.0,72.0,0.703,0.000214,0.238,0.035,0.0055,0.359,0.092,0.092,484.7,868.2,,1353.8
16.0,23125.0,16769.0,0.375,,656.0,656.0,66.0,0.777,0.000204,0.224,0.034,0.0065,0.479,0.101,0.1,487.4,795.9,,1285.7
17.0,24459.0,18068.0,0.375,,722.0,722.0,66.0,0.831,0.000159,0.216,0.034,0.0078,0.614,0.105,0.106,497.4,799.5,,1299.2
18.0,25769.0,19362.0,0.375,,788.0,788.0,66.0,0.865,0.000114,0.199,0.03,0.0062,0.462,0.104,0.103,492.3,799.5,,1294.0
19.0,27093.0,20650.0,0.375,,854.0,854.0,66.0,0.885,0.000105,0.202,0.03,0.0073,0.64,0.1,0.101,487.0,799.0,,1288.1
20.0,28318.0,21878.0,0.5,,915.0,915.0,61.0,0.896,8.22e-05,0.198,0.028,0.0063,0.492,0.095,0.096,488.7,737.0,,1227.9
21.0,29622.0,23170.0,0.5,,981.0,981.0,66.0,0.907,7.75e-05,0.194,0.028,0.008,0.65,0.107,0.105,489.8,799.3,,1291.2
22.0,30959.0,24805.0,0.375,0.3,1047.0,1047.0,66.0,0.912,7.21e-05,0.21,0.029,0.0078,0.511,0.111,0.112,473.6,800.3,275.9,1635.8
23.0,32385.0,26170.0,0.25,,1119.0,1119.0,72.0,0.919,5.95e-05,0.197,0.027,0.0084,0.549,0.117,0.118,487.6,875.7,,1364.3
24.0,33853.0,27542.0,0.25,,1192.0,1192.0,73.0,0.919,6.05e-05,0.207,0.028,0.0097,0.632,0.134,0.133,482.8,887.6,,1372.5
25.0,35108.0,28800.0,0.5,,1255.0,1255.0,63.0,0.923,6.12e-05,0.206,0.027,0.0081,0.443,0.142,0.143,488.0,768.1,,1258.2
26.0,36631.0,30244.0,0.125,,1331.0,1331.0,76.0,0.93,5.27e-05,0.196,0.027,0.01,0.561,0.137,0.136,515.4,925.8,,1443.2
27.0,37962.0,31548.0,0.375,,1398.0,1398.0,67.0,0.928,6.33e-05,0.21,0.028,0.011,0.571,0.136,0.135,486.9,815.1,,1304.0
28.0,39562.0,33022.0,0.0,,1478.0,1478.0,80.0,0.933,5.35e-05,0.206,0.027,0.01,0.466,0.109,0.11,497.5,974.6,,1474.1
29.0,40995.0,34660.0,0.25,0.1,1549.0,1549.0,71.0,0.934,4.89e-05,0.206,0.026,0.0094,0.554,0.083,0.083,480.6,865.5,290.3,1638.5
30.0,42508.0,36088.0,0.125,,1625.0,1625.0,76.0,0.935,4.49e-05,0.207,0.026,0.0079,0.362,0.07,0.069,499.8,926.6,,1427.3
31.0,44035.0,37502.0,0.125,,1701.0,1701.0,76.0,0.942,4.24e-05,0.19,0.025,0.0099,0.58,0.065,0.064,487.3,925.0,,1414.4
32.0,45482.0,38880.0,0.375,,1774.0,1774.0,73.0,0.935,4.42e-05,0.203,0.026,0.0077,0.314,0.05,0.049,487.8,887.9,,1377.7
33.0,46905.0,40211.0,0.375,,1845.0,1845.0,71.0,0.94,4.31e-05,0.195,0.025,0.0069,0.393,0.042,0.043,465.9,863.4,,1331.3
34.0,48091.0,41401.0,0.75,,1904.0,1904.0,59.0,0.941,4.21e-05,0.191,0.024,0.0079,0.381,0.028,0.028,468.0,719.3,,1189.3
35.0,49383.0,42672.0,0.5,,1969.0,1969.0,65.0,0.941,3.91e-05,0.194,0.024,0.01,0.52,0.039,0.038,477.0,792.6,,1271.6
36.0,50735.0,44256.0,0.375,0.3,2036.0,2036.0,67.0,0.942,4.65e-05,0.216,0.026,0.0074,0.327,0.047,0.048,476.2,816.2,289.1,1583.4
37.0,52173.0,45623.0,0.375,,2108.0,2108.0,72.0,0.946,4.27e-05,0.197,0.024,0.0088,0.346,0.051,0.052,492.4,874.2,,1367.6
38.0,53559.0,46986.0,0.375,,2177.0,2177.0,69.0,0.941,4.62e-05,0.199,0.025,0.012,0.625,0.05,0.051,520.7,840.0,,1362.7
39.0,55018.0,48370.0,0.25,,2250.0,2250.0,73.0,0.945,3.9e-05,0.207,0.024,0.0088,0.378,0.054,0.054,491.3,890.9,,1384.1
40.0,56319.0,49638.0,0.5,,2315.0,2315.0,65.0,0.945,4.38e-05,0.202,0.024,0.0085,0.403,0.055,0.054,474.6,791.6,,1268.1
41.0,57919.0,51112.0,0.0,,2395.0,2395.0,80.0,0.946,3.72e-05,0.208,0.025,0.01,0.5,0.049,0.05,497.0,974.9,,1473.9
42.0,59406.0,52532.0,0.25,,2470.0,2470.0,75.0,0.946,3.29e-05,0.198,0.023,0.0093,0.494,0.045,0.046,504.2,913.3,,1419.5
43.0,60968.0,54438.0,0.125,0.4,2548.0,2548.0,78.0,0.947,3.12e-05,0.193,0.023,0.0097,0.454,0.051,0.052,492.0,952.0,287.3,1906.4
44.0,62545.0,55906.0,0.125,,2627.0,2627.0,79.0,0.947,2.9e-05,0.183,0.021,0.0083,0.365,0.053,0.053,498.5,968.2,,1467.8
45.0,64078.0,57325.0,0.125,,2703.0,2703.0,76.0,0.944,3.63e-05,0.207,0.025,0.011,0.536,0.059,0.059,487.2,929.9,,1419.1
