prepared_at	2026-08-08T13:23:37+08:00
branch	codex/ogpo-pi0-robotwin
head	5d5c84e3ac4efa1713a4139a05ac1b776e634ed3
upstream_left_right	0	0
source_config_sha256	f777a0caceacf260c427093fdb0a493f6bd77c3d444cf233a57727ce9027c291
norm_sha256	649ed92b431bd70627febdb00b2385e35fcab5088e72a4e4a4845585f8ce4f6a
resolved_sha256	352f8e80752d60624a0c53c62d21dcc10bdc8e6712a433c18d0eec0ee1f56a36
run_root	/root/autodl-tmp/experiments/ogpo_robotwin_formal_20260808_v2
run_dir	/root/autodl-tmp/experiments/ogpo_robotwin_formal_20260808_v2/robotwin_adjust_bottle_ogpo_ca_formal_90k_utd005_v2
runtime_root	/root/autodl-tmp/experiment_exports/ogpo_robotwin_formal_20260808_v2/runtime
fresh_start	true
total_primitive_rows	90000
warmup_primitive_rows	10000
learning_primitive_rows	80000
paired_utd	0.05
actor_updates_target	4000
critic_updates_target	4000
critic_and_bc_batch_samples_target	256000
imagined_candidate_chains_target	2048000
td_next_action_chains_target	256000
replay_capacity_global	100000
train_envs	8
train_episode_step_cap	200
train_episode_equivalents	450
train_policy_queries_nominal	9000
eval_interval_rows	10000
eval_count_target	10
eval_episodes_per_eval	20
eval_episodes_target	200
checkpoint_interval_rows	30000
checkpoints_target	3
intermediate_recovery_checkpoints	2
wall_time_nominal_hours	23.71
wall_time_variation_note	approximately_plus_or_minus_10_percent_not_a_hard_deadline
