timestamp,driver_alive,host_mem_available_kib,cgroup_memory_current_bytes,cgroup_oom,cgroup_oom_kill,mem_psi_some_avg10,mem_psi_full_avg10,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct
2026-08-23T14:39:54+00:00,1,2092144564,10772480,0,0,0.00,0.00,0,0,0,0
2026-08-23T14:40:04+00:00,1,2089165460,3217633280,0,0,0.00,0.00,4,0,4,0
2026-08-23T14:40:15+00:00,1,2081074612,11950256128,0,0,0.00,0.00,525,0,525,0
2026-08-23T14:40:25+00:00,1,2078349112,16614711296,0,0,0.00,0.00,525,0,525,0
2026-08-23T14:40:35+00:00,1,2063506068,31817191424,0,0,0.00,0.00,525,0,525,0
2026-08-23T14:40:45+00:00,1,2057163644,38279237632,0,0,0.00,0.00,525,0,525,0
2026-08-23T14:40:56+00:00,1,2053262240,42279178240,0,0,0.00,0.00,525,0,525,0
2026-08-23T14:41:06+00:00,1,2063428184,31769124864,0,0,0.00,0.00,3081,7,525,0
2026-08-23T14:41:16+00:00,1,2072100712,22854946816,0,0,0.00,0.00,18349,0,18349,0
2026-08-23T14:41:26+00:00,1,2069932640,25015635968,0,0,0.00,0.00,20299,0,20299,0
2026-08-23T14:41:37+00:00,1,2048080904,50435375104,0,0,0.00,0.00,24105,0,24105,0
2026-08-23T14:41:47+00:00,1,2061229612,47726284800,0,0,0.00,0.00,24105,0,24105,100
2026-08-23T14:41:57+00:00,1,2092161060,24806313984,0,0,0.00,0.00,0,0,0,0
2026-08-23T14:42:07+00:00,1,2092172596,24804945920,0,0,0.00,0.00,0,0,0,0
2026-08-23T14:42:17+00:00,1,2092173744,24804810752,0,0,0.00,0.00,0,0,0,0
2026-08-23T14:42:28+00:00,0,2092162336,,,,,,,,,
