selection,success,query_count,first_trajectory_id,last_trajectory_id,first_positive_query,mean_log10_v_l3_c10,peak_log10_v_l3_c10,peak_query,mean_log10_v_l3_h10_49,student_fraction
success_low,1,10,56990,56999,9,-2.210958957672119,-2.0667638778686523,0,-1.947295904159546,1.0
success_middle,1,10,57522,57531,9,-2.0969185829162598,-1.8815919160842896,4,-1.8927295207977295,1.0
success_high,1,12,54736,54747,11,-1.9344366788864136,-1.33479642868042,2,-1.6141592264175415,1.0
failure_low,0,20,56241,56260,-1,-2.171281337738037,-1.851540446281433,5,-1.9310142993927002,1.0
failure_middle,0,20,55276,55295,-1,-2.116208076477051,-1.6035704612731934,0,-1.9002958536148071,1.0
failure_high,0,20,56347,56366,-1,-1.851191759109497,-1.0594819784164429,15,-1.4670209884643555,1.0
