episode_uid,episode_idx,eval_epoch,source_env_rank,stage_id,local_env_slot,reset_id,success,success_at_end,return,reward,action_slots,final_query_idx,final_action_slot,termination_reason
ep000032_reset100100050,32,0,2,0,0,100100050,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000033_reset100100005,33,0,2,0,1,100100005,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000034_reset100100122,34,0,2,0,2,100100122,False,False,0.0,0.0,200,3,200,truncation
ep000035_reset100100008,35,0,2,0,3,100100008,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000036_reset100100092,36,0,2,0,4,100100092,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000037_reset100100133,37,0,2,0,5,100100133,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000038_reset100100157,38,0,2,0,6,100100157,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000039_reset100100152,39,0,2,0,7,100100152,False,False,0.0,0.0,200,3,200,truncation
ep000040_reset100100073,40,0,2,0,8,100100073,False,False,0.0,0.0,200,3,200,truncation
ep000041_reset100100074,41,0,2,0,9,100100074,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000042_reset100100168,42,0,2,0,10,100100168,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000043_reset100100051,43,0,2,0,11,100100051,False,False,0.0,0.0,200,3,200,truncation
ep000044_reset100100151,44,0,2,0,12,100100151,False,False,0.0,0.0,200,3,200,truncation
ep000045_reset100100046,45,0,2,0,13,100100046,False,False,0.0,0.0,200,3,200,truncation
ep000046_reset100100141,46,0,2,0,14,100100141,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000047_reset100100137,47,0,2,0,15,100100137,True,True,1.0,0.004999999888241291,200,3,200,truncation
