episode_uid,episode_idx,eval_epoch,source_env_rank,stage_id,local_env_slot,reset_id,success,success_at_end,return,reward,action_slots,final_query_idx,final_action_slot,termination_reason
ep000000_reset100100052,0,0,0,0,0,100100052,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000001_reset100100066,1,0,0,0,1,100100066,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000002_reset100100113,2,0,0,0,2,100100113,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000003_reset100100088,3,0,0,0,3,100100088,False,False,0.0,0.0,200,3,200,truncation
ep000004_reset100100043,4,0,0,0,4,100100043,False,False,0.0,0.0,200,3,200,truncation
ep000005_reset100100081,5,0,0,0,5,100100081,False,False,0.0,0.0,200,3,200,truncation
ep000006_reset100100144,6,0,0,0,6,100100144,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000007_reset100100098,7,0,0,0,7,100100098,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000008_reset100100058,8,0,0,0,8,100100058,False,False,0.0,0.0,200,3,200,truncation
ep000009_reset100100130,9,0,0,0,9,100100130,False,False,0.0,0.0,200,3,200,truncation
ep000010_reset100100156,10,0,0,0,10,100100156,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000011_reset100100148,11,0,0,0,11,100100148,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000012_reset100100091,12,0,0,0,12,100100091,False,False,0.0,0.0,200,3,200,truncation
ep000013_reset100100085,13,0,0,0,13,100100085,False,False,0.0,0.0,200,3,200,truncation
ep000014_reset100100013,14,0,0,0,14,100100013,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000015_reset100100034,15,0,0,0,15,100100034,True,True,1.0,0.004999999888241291,200,3,200,truncation
