episode_uid,episode_idx,eval_epoch,source_env_rank,stage_id,local_env_slot,reset_id,success,success_at_end,return,reward,action_slots,final_query_idx,final_action_slot,termination_reason
ep000016_reset100100173,16,0,1,0,0,100100173,False,False,0.0,0.0,200,3,200,truncation
ep000017_reset100100065,17,0,1,0,1,100100065,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000018_reset100100076,18,0,1,0,2,100100076,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000019_reset100100057,19,0,1,0,3,100100057,False,False,0.0,0.0,200,3,200,truncation
ep000020_reset100100035,20,0,1,0,4,100100035,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000021_reset100100070,21,0,1,0,5,100100070,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000022_reset100100119,22,0,1,0,6,100100119,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000023_reset100100174,23,0,1,0,7,100100174,False,False,0.0,0.0,200,3,200,truncation
ep000024_reset100100090,24,0,1,0,8,100100090,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000025_reset100100118,25,0,1,0,9,100100118,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000026_reset100100165,26,0,1,0,10,100100165,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000027_reset100100045,27,0,1,0,11,100100045,False,False,0.0,0.0,200,3,200,truncation
ep000028_reset100100154,28,0,1,0,12,100100154,False,False,0.0,0.0,200,3,200,truncation
ep000029_reset100100108,29,0,1,0,13,100100108,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000030_reset100100093,30,0,1,0,14,100100093,True,True,1.0,0.004999999888241291,200,3,200,truncation
ep000031_reset100100096,31,0,1,0,15,100100096,True,True,1.0,0.004999999888241291,200,3,200,truncation
