step,elapsed_s,train_success,eval_success,approx_kl,clip_fraction,grad_norm,ratio_abs,policy_loss_abs,step_time_s,generate_rollouts_s,actor_training_s
1,1426,0.8203125,,0.048,0.008,26.529,0.016,25.179,1426.4,1386.3,23.555
2,2912,0.76953125,,0.052,0.003,35.541,0.02,20.517,1486.2,1463.4,20.273
3,4301,0.734375,,0.051,0.0047,37.983,0.017,30.875,1389.1,1366.8,19.895
4,5535,0.7890625,,0.015,0.000816,38.115,0.011,25.628,1234.2,1211.8,20.242
5,7122,0.8828125,0.9375,0.021,0.0018,37.604,0.014,18.647,1586.8,1248.6,22.836
6,8636,0.87109375,,0.018,0.0011,29.908,0.012,18.251,1514.0,1489.0,22.866
7,10189,0.84765625,,0.019,0.000229,27.496,0.01,19.591,1552.6,1527.6,22.583
8,11708,0.8671875,,0.0044,3.68e-05,22.288,0.0067,18.878,1519.1,1495.5,21.113
9,13256,0.8828125,,0.02,0.000269,36.915,0.0098,18.5,1547.6,1522.4,23.021
10,15131,0.85546875,0.9375,0.029,0.000754,33.528,0.012,20.914,1875.1,1527.8,23.239
11,16346,0.890625,,0.0067,0.000781,41.029,0.0099,19.924,1214.8,1193.5,19.453
12,17509,0.84375,,0.021,0.001,31.649,0.014,19.311,1163.7,1142.4,19.375
13,18688,0.82421875,,0.025,0.0012,33.47,0.014,16.271,1178.2,1157.0,19.265
14,19851,0.91015625,,0.026,0.000914,30.629,0.013,16.269,1163.6,1142.4,19.241
15,21576,0.87109375,0.90625,0.018,0.00015,29.193,0.0093,16.538,1724.5,1374.4,22.715
16,23050,0.76953125,,0.026,0.000795,47.919,0.014,29.354,1474.3,1448.0,24.216
17,24508,0.87890625,,0.025,0.000114,14.789,0.0083,7.162,1457.8,1431.8,23.195
18,25995,0.921875,,0.0058,0.000701,22.138,0.0064,10.88,1487.3,1462.3,22.732
19,27442,0.8671875,,0.036,0.000956,28.751,0.014,18.193,1446.8,1421.8,22.74
20,29314,0.9765625,0.90625,0.0036,0.000365,12.925,0.0086,3.793,1872.1,1490.0,23.192
21,30810,0.90234375,,0.015,0.000557,24.544,0.0081,16.522,1496.2,1471.4,23.166
22,32257,0.93359375,,0.032,0.0013,24.447,0.014,10.67,1446.5,1421.4,22.392
23,33599,0.92578125,,0.027,0.0011,30.231,0.014,13.773,1341.9,1317.4,22.349
24,35000,0.828125,,0.029,0.000597,24.201,0.013,16.329,1400.7,1376.3,21.976
25,36626,0.8828125,0.84375,0.029,0.000572,25.774,0.013,15.59,1626.5,1302.6,23.259
26,37960,0.875,,0.013,0.000311,20.791,0.01,11.814,1333.7,1311.1,20.783
27,39330,0.93359375,,0.016,0.000599,29.478,0.012,11.113,1370.0,1345.5,22.339
28,40718,0.91015625,,0.014,0.00062,29.839,0.011,13.121,1387.5,1363.4,21.922
29,42272,0.94921875,,0.012,0.000292,17.883,0.0093,7.584,1554.7,1531.6,20.701
30,44085,0.921875,0.90625,0.03,0.000569,23.708,0.012,14.925,1812.3,1422.6,23.421
31,45438,0.9609375,,0.014,0.000421,14.863,0.0076,5.653,1353.5,1330.1,21.621
32,46808,0.890625,,0.022,0.000689,31.553,0.011,17.167,1369.4,1346.2,20.924
33,48111,0.92578125,,-0.012,0.00054,20.835,0.012,8.365,1303.6,1281.9,19.698
34,49426,0.921875,,0.014,0.000398,22.332,0.01,11.345,1314.5,1289.5,23.132
35,50994,0.9296875,0.9375,0.018,0.000456,15.675,0.01,6.364,1568.2,1286.8,19.555
36,52362,0.9609375,,0.019,0.000511,19.816,0.0089,8.109,1368.3,1345.2,21.356
37,53714,0.96875,,0.02,0.000661,15.596,0.011,5.334,1352.0,1327.3,22.384
38,55097,0.94140625,,-0.0048,0.000802,18.79,0.011,10.591,1382.8,1358.8,21.648
39,56424,0.93359375,,0.019,0.000725,21.113,0.012,6.153,1327.2,1302.7,22.257
40,58050,0.9609375,0.9375,0.015,0.0013,20.242,0.012,8.858,1625.9,1295.3,22.131
41,59379,0.953125,,0.018,0.0015,22.835,0.012,7.983,1328.5,1306.6,20.31
42,60746,0.9296875,,0.014,0.000779,32.123,0.013,12.229,1367.4,1345.5,19.84
43,62078,0.9609375,,0.011,0.000362,19.589,0.0074,7.214,1332.0,1308.1,21.963
44,63445,0.87109375,,0.02,0.00037,26.02,0.013,12.801,1366.3,1343.0,21.105
45,65078,0.9140625,0.96875,0.045,0.000969,29.799,0.015,10.913,1633.0,1327.8,21.281
