run,global_step,current_mean_log_v,history_mean_log_v,position_center_median_log_v,residual_p05,residual_p50,residual_p95,weight_p05,weight_p50,weight_p95,positive_adv_weight_mean,negative_adv_weight_mean
v1_global_z,1,-4.41282382350129,nan,,,,,1.0,1.0,1.0,1.0,1.0
v1_global_z,2,-4.411570622753008,-4.41282382350129,,,,,0.8648621417556607,1.013793395240966,1.189531661137786,1.0058156512296241,1.0337362684080624
v1_global_z,3,-4.400568064012077,-4.412197223127149,,,,,0.8737407549694701,1.013728388539561,1.1902953861476657,1.0105396259081114,1.034856227311221
v1_global_z,4,-4.3818349107937316,-4.408320836755458,,,,,0.8764503462185999,1.0164918612642406,1.1973503041564182,1.011519543362851,1.034281918122066
v1_global_z,5,-4.40662150609484,-4.401699355265026,,,,,0.8797579449651904,1.0116858512485931,1.1825445578416762,1.0084401046326015,1.0305761496943258
v1_global_z,6,-4.438972337838224,-4.402683785430988,,,,,0.8795629746652063,1.007667298950901,1.1842819858837679,1.006080790062171,1.034645749654384
v1_global_z,7,-4.405344914031722,-4.407913488298376,,,,,0.87868743780426,1.0132224239441792,1.1893858213781785,1.0079786858894753,1.0324488276952164
v1_global_z,8,-4.370310101924422,-4.4066683465541185,,,,,0.8810664732832658,1.0191679028460854,1.1938542782632928,1.0145211914965981,1.0403643254229897
v1_global_z,9,-4.349499489570386,-4.400616754136588,,,,,0.8855469492853114,1.022920128269241,1.1957765462005907,1.0172961591820728,1.0492008824906087
v1_global_z,10,-4.313436158445559,-4.394149669891919,,,,,0.8897457830198519,1.0253089462007796,1.2000000476837158,1.0145535825373053,1.0562443072979266
v1_global_z,11,-4.367098875652602,-4.375512600362063,,,,,0.8803015731903444,1.0125682658459767,1.1980675203254425,1.0113003202231534,1.0384222694190153
v1_global_z,12,-4.266903939081759,-4.361137907924938,,,,,0.8913854315229084,1.0237668312114219,1.2000000476837158,1.0195738958275837,1.0482956132163173
v1_global_z,13,-4.253688659004613,-4.333449712934946,,,,,0.886119750871811,1.0213041905680291,1.2000000476837158,1.0173080605827698,1.0448437792758374
v1_global_z,14,-4.284102741370493,-4.310125424350983,,,,,0.8885088289106214,1.0196339388151427,1.1928305555034329,1.012076558293523,1.0478861898989291
