run,global_step,current_mean_log_v,history_mean_log_v,position_center_median_log_v,residual_p05,residual_p50,residual_p95,weight_p05,weight_p50,weight_p95,positive_adv_weight_mean,negative_adv_weight_mean
v1_global_z,15,-4.240858523954777,-4.297046074711004,,,,,0.8912759511393115,1.0256852153548621,1.186690566533789,1.0138699097143378,1.052564069143214
v1_global_z,16,-4.240588770336693,-4.282530547812849,,,,,0.8906282156705856,1.023396873474121,1.2000000476837158,1.0154980385303498,1.0516194474697114
v1_global_z,17,-4.201336686136603,-4.2572285267496675,,,,,0.887272925937877,1.0186123393563664,1.2000000476837158,1.014461087619557,1.0456437587738037
v1_global_z,18,-4.248392500426004,-4.244115076160636,,,,,0.8808976355800056,1.0109042265361412,1.183933094479984,1.0045769586598963,1.0321896340613974
v1_global_z,19,-4.221263844241429,-4.243055844444914,,,,,0.8839836035455976,1.0108192477907454,1.1952697549547469,1.0123779092516219,1.0327022927148002
v1_global_z,20,-4.257719263998618,-4.230488065019101,,,,,0.890124242356483,1.0218792550107265,1.1932533598960715,1.012833910800041,1.0539754279116367
v1_global_z,21,-4.17564499669157,-4.23386021302787,,,,,0.8841764773039714,1.0172446017032084,1.2000000476837158,1.0103590358858523,1.0574734683917917
v1_global_z,22,-4.231868487690288,-4.220871458298845,,,,,0.8817797158596784,1.0100194501453603,1.1789206090058095,1.011767920657728,1.0260525014273514
v1_global_z,23,-4.169848702003832,-4.226977818609582,,,,,0.8899031811866207,1.0192040087520213,1.1878075454546058,1.0190266989279484,1.0367437279742697
v1_global_z,24,-4.165294072220161,-4.211269058925147,,,,,0.881516587202716,1.0152820811909475,1.1896992094197851,1.0140870574173655,1.0328386672742806
v1_global_z,25,-4.183760837271365,-4.200075104520894,,,,,0.8843119435797865,1.0105026366230778,1.1956347825047307,1.0098032741881788,1.0393752800389982
v1_global_z,26,-4.173492525867875,-4.185283419175443,,,,,0.8847764704181471,1.013575319744667,1.2000000476837158,1.0089351250777232,1.05358922678577
v1_global_z,27,-4.148715717630918,-4.184852925010704,,,,,0.8841838333980147,1.0164958777197872,1.2000000476837158,1.0238582843757538,1.0224627109177142
v1_global_z,28,-4.1076199498093136,-4.16822237099883,,,,,0.8840555419587786,1.0144550542163242,1.1970462490292364,1.0123821372945343,1.0418004030381545
v1_global_z,29,-4.133545755420897,-4.155776620559927,,,,,0.8871508966429962,1.0154543356915398,1.1922559169545832,1.0121059412736773,1.0441715682400818
v1_global_z,30,-4.136986856314226,-4.149426957200074,,,,,0.8741003974469123,1.0144977483920707,1.2000000476837158,1.0125589267222468,1.0474021020763649
v1_global_z,31,-4.172471793942516,-4.1400721610086455,,,,,0.8721166700695666,1.0048523209560876,1.1869903017277919,1.0056170389570038,1.02786770223201
v1_global_z,32,-4.129941536055004,-4.139868014623575,,,,,0.8864954207902369,1.01784689789233,1.1998277559228565,1.018485972414846,1.0358274002438006
v1_global_z,33,-4.113095166639627,-4.136113178308391,,,,,0.8723334575868757,1.0091143420996393,1.2000000476837158,1.0090349695013394,1.0307954374386115
v1_global_z,34,-4.088310940432246,-4.137208221674454,,,,,0.8767195735830504,1.0208393956912254,1.2000000476837158,1.009346096581716,1.0571942752794896
v1_global_z,35,-4.114164712726513,-4.128161258676724,,,,,0.8805489301681518,1.0126654407252436,1.1884188149286352,1.0114755013714667,1.036109265037205
v1_global_z,36,-4.134592940501348,-4.1235968299591805,,,,,0.8677931234643266,1.0001651399844402,1.1712714962057165,1.003915693308856,1.0091654223364752
v1_global_z,37,-4.095166081646535,-4.116021059270947,,,,,0.8765700190814574,1.0124314411362605,1.2000000476837158,1.0125830604069268,1.0410999180665657
v1_global_z,38,-4.109562455515543,-4.109065968389253,,,,,0.8709946274757385,1.008880853652954,1.192076325416565,1.010410487651825,1.0207961201667786
v1_global_z,39,-4.088323298414444,-4.108359426164436,,,,,0.8799129645686504,1.0202793050403438,1.2000000476837158,1.0115007497062367,1.0451964366534525
v1_global_z,40,-4.090759080969142,-4.108361897760877,,,,,0.8790697897634199,1.017805737833823,1.2000000476837158,1.0131645548728205,1.0498428921545706
v1_global_z,41,-4.102074746728243,-4.103680771409402,,,,,0.8791147572521106,1.0202113018889372,1.2000000476837158,1.0183128563810415,1.0420543924843755
v1_global_z,42,-4.101341273814848,-4.097177132654782,,,,,0.8790290263628867,1.015439309668817,1.199219890082665,1.0133064055534864,1.0485285161544917
v1_global_z,43,-4.067644816266944,-4.098412171088444,,,,,0.8804384680485636,1.0212159023852154,1.2000000476837158,1.0187095049145496,1.0397542174420835
v1_global_z,44,-4.019119875688202,-4.090028643238725,,,,,0.893516317772784,1.0322261890046833,1.2000000476837158,1.0258021057669213,1.0612061406158344
v1_global_z,45,-4.048834721549366,-4.076187958693476,,,,,0.8849419171993549,1.0135584427760198,1.2000000476837158,1.013695559658847,1.0378691193821665
v1_global_z,46,-4.025820516214476,-4.06780308680952,,,,,0.8926129520342156,1.0223954907945685,1.2000000476837158,1.0229527797247913,1.0398399108970486
v1_global_z,47,-4.015384567998207,-4.052552240706768,,,,,0.8754044626031855,1.0136164800707264,1.2000000476837158,1.0138231155177324,1.0308830179411548
v1_global_z,48,-4.009102339910328,-4.035360899543439,,,,,0.8866242013693669,1.0154897129169502,1.2000000476837158,1.0118720690138103,1.04847915709629
v1_global_z,49,-4.033190744645841,-4.023652404272116,,,,,0.8865818015248829,1.0165954824429233,1.1929119691204795,1.0146767702133326,1.040223756403785
v1_global_z,50,-4.01332577375927,-4.026466578063643,,,,,0.8785457198034253,1.0075966977236563,1.1913646407294691,1.003946762335928,1.0359593608923126
v1_global_z,51,-4.0464204751808355,-4.019364788505625,,,,,0.8805550696285627,1.0141256601755855,1.194689522262748,1.0162732246267887,1.0226799786545848
v1_global_z,52,-3.9917551903039326,-4.0234847802988964,,,,,0.8872603025895283,1.0187919663584881,1.1921488700052685,1.015725865024902,1.0496226788564706
v1_global_z,53,-3.9758302844578406,-4.018758904760041,,,,,0.8892033954079335,1.0191831657519708,1.1904333302607903,1.0187802784718,1.0421875852804918
v1_global_z,54,-3.946966948096417,-4.012104493669544,,,,,0.8883169931908176,1.0217178246746323,1.2000000476837158,1.0221031698462082,1.043716654059005
v2_r_only,1,-4.423609437821433,nan,nan,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
v2_r_only,2,-4.389597834816668,-4.423609437821433,-4.470353126525879,-1.244408667087555,0.25375877320766443,1.9517398476600647,0.6888978183269501,1.0253759026527405,1.1951740384101868,0.9816844761371613,1.0056621134281158
v2_r_only,3,-4.389848171594785,-4.40660363631905,-4.44789457321167,-1.2286868691444397,0.2585008591413498,1.98354172706604,0.6928282380104065,1.0258501172065735,1.1983542442321777,0.9795254170894623,1.0135737359523773
v2_r_only,4,-4.374157278408675,-4.401018481410962,-4.440747261047363,-1.1800674200057983,0.3000093251466751,1.9579144716262817,0.704983115196228,1.030000925064087,1.195791482925415,0.9821453392505646,1.0247204899787903
v2_r_only,5,-4.381167614564765,-4.394303180660391,-4.434177398681641,-1.1757535934448242,0.2202501371502876,1.9400874376296997,0.7060616314411163,1.0220249891281128,1.1940087676048279,0.9829016327857971,1.0032998919487
v2_r_only,6,-4.408825195219833,-4.391676067441265,-4.437694549560547,-1.2362316846847534,0.1855330020189285,1.9246385097503662,0.6909420788288116,1.0185533165931702,1.1924638748168945,0.9699369966983795,1.0235885977745056
v2_r_only,7,-4.372751142219641,-4.388719218920945,-4.447086334228516,-1.1605730652809143,0.3071940988302231,1.9325962662696838,0.7098567485809326,1.0307193398475647,1.1932596564292908,0.9876064658164978,1.0213301181793213
v2_r_only,8,-4.346528386864812,-4.38534988040154,-4.448101997375488,-1.1553844809532166,0.3841658681631088,2.0,0.7111538648605347,1.038416564464569,1.2000000476837158,0.9946669340133667,1.0242487788200378
v2_r_only,9,-4.311447994098999,-4.376685923455545,-4.440138816833496,-1.131192684173584,0.3176099359989166,2.0,0.717201828956604,1.0317610502243042,1.2000000476837158,0.9924792349338531,1.0180397033691406
v2_r_only,10,-4.32109360183822,-4.364144066593609,-4.4293212890625,-1.0948491096496582,0.32918602228164673,1.9828546047210693,0.7262877523899078,1.0329185724258423,1.1982855200767517,1.0034750699996948,1.0026242136955261
v2_r_only,11,-4.33086779311765,-4.3521292640483,-4.413923263549805,-1.0645289421081543,0.3136418759822845,1.9748260378837585,0.7338677644729614,1.0313641428947449,1.1974825859069824,0.994683027267456,1.0284161567687988
v2_r_only,12,-4.19983074079646,-4.336537783627864,-4.397029399871826,-1.0646482110023499,0.393317848443985,2.0,0.7338379323482513,1.0393317937850952,1.2000000476837158,0.9983929395675659,1.0382027626037598
v2_r_only,13,-4.181654867546167,-4.301953703343228,-4.361681938171387,-0.9810423851013184,0.5015288591384888,2.0,0.7547394335269928,1.0501528978347778,1.2000000476837158,1.0078275799751282,1.0505906343460083
v2_r_only,14,-4.208326295013539,-4.268978999479499,-4.338798999786377,-1.0329928398132324,0.39170773327350616,2.0,0.7417517900466919,1.039170742034912,1.2000000476837158,0.9966883361339569,1.0420621633529663
v2_r_only,15,-4.178709279204486,-4.248354659662407,-4.318805694580078,-1.0698570013046265,0.38793623447418213,2.0,0.732535719871521,1.0387936234474182,1.2000000476837158,1.0008449852466583,1.0254051089286804
v2_r_only,16,-4.176246668421664,-4.219877795135661,-4.2865142822265625,-1.1510408520698547,0.26136378943920135,2.0,0.7122397720813751,1.0261363983154297,1.2000000476837158,0.9847339391708374,1.012751579284668
v2_r_only,17,-4.178996782406466,-4.188953570196463,-4.267068862915039,-1.223350703716278,0.1906504705548286,1.8703539371490479,0.6941623091697693,1.019065022468567,1.1870353817939758,0.9847644865512848,0.9724213480949402
v2_r_only,18,-4.17910010421394,-4.184786778518465,-4.262788772583008,-1.2151433229446411,0.20791245996952057,2.0,0.6962141692638397,1.020791232585907,1.2000000476837158,0.9691157937049866,1.013806700706482
v2_r_only,19,-4.158773223786848,-4.184275825852019,-4.264256954193115,-1.1657637357711792,0.2959297150373459,2.0,0.7085590660572052,1.0295929908752441,1.2000000476837158,0.9858773648738861,1.014723777770996
v2_r_only,20,-4.210404026589822,-4.1743652116066805,-4.2576446533203125,-1.240234375,0.1919547319412231,2.0,0.6899414360523224,1.0191954970359802,1.2000000476837158,0.9726698100566864,1.0001695454120636
v2_r_only,21,-4.125186162046157,-4.180704161083748,-4.26393985748291,-1.1122353672981262,0.3497247099876404,2.0,0.7219411432743073,1.0349724292755127,1.2000000476837158,0.995496839284897,1.0193594098091125
v2_r_only,22,-4.139433192303404,-4.170492059808646,-4.253397464752197,-1.0662339925765991,0.3605285584926605,2.0,0.7334414720535278,1.0360528230667114,1.2000000476837158,1.0038784444332123,1.0175275802612305
v2_r_only,23,-4.11096053476329,-4.162579341788034,-4.245543479919434,-1.0719576478004456,0.3367113620042801,2.0,0.7320106029510498,1.0336711406707764,1.2000000476837158,0.9924136996269226,1.0310797095298767
v2_r_only,24,-4.10384609042434,-4.148951427897904,-4.23541259765625,-1.1648098230361938,0.3250919580459595,2.0,0.7087975442409515,1.032509207725525,1.2000000476837158,0.998343974351883,1.002461075782776
v2_r_only,25,-4.11843226945959,-4.1379660012254025,-4.226490497589111,-1.0473021268844604,0.3105766475200653,2.0,0.7381744384765625,1.0310576558113098,1.2000000476837158,1.0030514895915985,1.0078833103179932
v2_r_only,26,-4.100669350128155,-4.119571649799356,-4.211048126220703,-1.1625496745109558,0.271413117647171,2.0,0.7093625664710999,1.027141273021698,1.2000000476837158,0.983742356300354,1.0186688899993896
v2_r_only,27,-4.081536984286504,-4.114668287415756,-4.208971977233887,-1.1025425791740417,0.30473141372203827,2.0,0.724364310503006,1.030473232269287,1.2000000476837158,0.9959671199321747,1.020937293767929
v2_r_only,28,-4.035163587647258,-4.103089045812376,-4.200940132141113,-1.1453459858894348,0.3210804909467697,2.0,0.7136634886264801,1.0321080088615417,1.2000000476837158,0.9919030070304871,1.0263574719429016
v2_r_only,29,-4.035968944645719,-4.08792965638917,-4.183602809906006,-1.1160185933113098,0.43104052543640137,2.0,0.7209953665733337,1.0431040525436401,1.2000000476837158,1.0039265155792236,1.0497305989265442
v2_r_only,30,-4.025542460719007,-4.074354227233445,-4.169269561767578,-1.0555481910705566,0.4805809408426285,2.0,0.7361129224300385,1.0480580925941467,1.2000000476837158,1.0167378485202787,1.035293698310852
v2_r_only,31,-4.044564687309321,-4.055776265485329,-4.146093368530273,-1.2917037606239319,0.2388300597667694,2.0,0.6770740747451782,1.023883044719696,1.2000000476837158,0.9725588858127594,1.0227519273757935
v2_r_only,32,-4.028304503243416,-4.044555332921562,-4.138898849487305,-1.2729870080947876,0.26430621743202204,2.0,0.6817532181739807,1.026430606842041,1.2000000476837158,0.978624165058136,1.0240557789802551
v2_r_only,33,-4.018187148688594,-4.0339088367129445,-4.11644172668457,-1.38793283700943,0.19882149249315256,2.0,0.6530167758464813,1.0198821425437927,1.2000000476837158,0.9716345071792603,0.9965468943119051
v2_r_only,34,-4.028439166976023,-4.030513548921212,-4.108595371246338,-1.4798213243484497,0.18536138534545896,2.0,0.6300446689128876,1.0185362100601196,1.2000000476837158,0.9524299204349518,1.014305591583252
v2_r_only,35,-4.020949622655171,-4.029007593387272,-4.104120254516602,-1.4321552515029907,0.23806437849998469,2.0,0.6419611573219299,1.0238064527511597,1.2000000476837158,0.9711022973060608,1.0101758241653442
