run_id,policy,task,episode_id,reset_id,source_seed,success,total_action_slots,queries,first_success_action_slot,first_success_query,video_path
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,1,0,,True,104,5,103,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1/pick_diverse_bottles/episode0_randomized-false_success-true.mp4
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,2,1,,True,114,5,113,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1/pick_diverse_bottles/episode1_randomized-false_success-true.mp4
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,3,2,,True,108,5,107,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1/pick_diverse_bottles/episode2_randomized-false_success-true.mp4
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,4,3,,True,106,5,105,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1/pick_diverse_bottles/episode3_randomized-false_success-true.mp4
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,5,4,,False,400,17,,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1/pick_diverse_bottles/episode4_randomized-false_success-false.mp4
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,6,5,,True,108,5,107,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1/pick_diverse_bottles/episode5_randomized-false_success-true.mp4
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,7,6,,True,106,5,105,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1/pick_diverse_bottles/episode6_randomized-false_success-true.mp4
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,8,7,,False,400,17,,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1/pick_diverse_bottles/episode7_randomized-false_success-false.mp4
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,9,8,,False,400,17,,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1/pick_diverse_bottles/episode8_randomized-false_success-false.mp4
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,10,9,,True,99,5,98,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1/pick_diverse_bottles/episode9_randomized-false_success-true.mp4
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,11,10,,False,400,17,,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1/pick_diverse_bottles/episode10_randomized-false_success-false.mp4
fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1,fastwam,pick_diverse_bottles,12,11,,True,105,5,104,4,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-pick_diverse_bottles-p2-16ep-c63dc9b5-v1/pick_diverse_bottles/episode11_randomized-false_success-true.mp4
