mapping,p05,median,p95,mean,zero_fraction,two_fraction,weight_ess_ratio,effective_h,top20_weight_mass,coefficient_angle_deg,advantage_weighted_angle_deg
"v2 [0.5, 1.2]",0.5908222571015358,1.003063357807696,1.2,0.9526279894647328,0.0,0.0,0.9729373159976497,48.646865799882484,0.2370965015678946,9.010328782840809,10.50748340708008
"middle [0.25, 1.5]",0.3862333856523037,1.0076583945192397,1.5,0.9774549356217804,0.0,0.0,0.9220398368070947,46.101991840354735,0.27195894003219523,15.550842576904401,17.837201360489864
"v3 candidate [0, 2]",0.1816445142030716,1.0153167890384793,2.0,1.0507948332035089,0.024301075268817203,0.07103942652329749,0.8375873405538478,41.87936702769239,0.3189717479087679,22.990372570129495,25.70478991107468
A3PO-like top-20 x2,1.0,1.0,2.0,1.2,0.0,0.2,0.9000000000000002,45.000000000000014,0.33333333333333326,18.434948822922017,18.434948822922
"hard top-20 {0,5}",0.0,0.0,5.0,1.0,0.8,0.0,0.19999999999999996,9.999999999999998,1.0,63.43494882292201,63.43494882292201
