timestamp,wrapper_alive,host_mem_available_kib,swap_free_kib,mem_psi_some_avg10,gpu6_used_mib,gpu6_util_pct,gpu6_temp_c
2026-09-05T02:52:47.809320+00:00,1,1157132488,154380,0.00,6,0,33
2026-09-05T02:52:52.933514+00:00,1,1156594124,154380,0.00,6,0,33
2026-09-05T02:52:58.062627+00:00,1,1153076588,155028,0.00,6,0,33
2026-09-05T02:53:03.680987+00:00,1,1151490752,155344,0.00,6,0,33
2026-09-05T02:53:08.812160+00:00,1,1149447224,155480,0.00,1143,6,35
2026-09-05T02:53:13.937507+00:00,1,1146813056,155480,0.00,1198,0,35
2026-09-05T02:53:19.064265+00:00,1,1133506628,155484,0.00,1198,0,35
2026-09-05T02:53:24.192514+00:00,1,1128882952,155484,0.00,1198,0,35
2026-09-05T02:53:29.316369+00:00,1,1128217844,155484,0.00,1198,0,35
2026-09-05T02:53:34.439593+00:00,1,1126640580,155496,0.00,1198,0,35
2026-09-05T02:53:39.565457+00:00,1,1129881828,155496,0.00,1198,0,35
2026-09-05T02:53:44.720214+00:00,1,1133345524,155496,0.00,1221,0,34
2026-09-05T02:53:49.853244+00:00,1,1137807356,155516,0.00,1719,0,35
2026-09-05T02:53:54.976938+00:00,1,1141640328,155516,0.00,1719,0,35
2026-09-05T02:54:00.105430+00:00,1,1139305692,155560,0.00,1719,0,35
2026-09-05T02:54:05.254356+00:00,1,1134121824,155560,0.00,1719,0,35
2026-09-05T02:54:10.401748+00:00,1,1131521448,155560,0.00,1719,0,35
2026-09-05T02:54:15.530069+00:00,1,1130661568,155560,0.00,1719,0,36
2026-09-05T02:54:20.662759+00:00,1,1129545360,155560,0.00,1719,0,36
2026-09-05T02:54:25.792599+00:00,1,1129390616,155560,0.00,1719,0,36
2026-09-05T02:54:30.912528+00:00,1,1136012088,155560,0.00,1719,0,36
2026-09-05T02:54:36.072487+00:00,1,1131029864,155560,0.00,4857,7,36
2026-09-05T02:54:41.209147+00:00,1,1129883892,155628,0.00,16047,0,36
2026-09-05T02:54:46.340554+00:00,1,1129904628,155628,0.00,16047,0,36
2026-09-05T02:54:51.444001+00:00,1,1128092960,155640,0.00,14209,13,36
2026-09-05T02:54:56.582387+00:00,1,1131088548,156412,0.00,17157,0,36
2026-09-05T02:55:01.716094+00:00,1,1130920728,156748,0.00,17183,0,36
2026-09-05T02:55:06.861656+00:00,1,1130855700,156880,0.00,17211,0,36
2026-09-05T02:55:12.006112+00:00,1,1130354864,157032,0.00,17237,0,36
2026-09-05T02:55:17.150357+00:00,1,1129816636,157316,0.00,17559,0,36
2026-09-05T02:55:22.293794+00:00,1,1129654212,158052,0.00,20741,68,38
2026-09-05T02:55:27.489074+00:00,1,1128512924,158452,0.00,21087,3,37
2026-09-05T02:55:32.628146+00:00,1,1128493308,158672,0.00,21828,0,37
2026-09-05T02:55:37.774432+00:00,1,1128144148,158944,0.00,22285,8,37
2026-09-05T02:55:42.911964+00:00,1,1127197556,159252,0.00,23349,0,37
2026-09-05T02:55:48.062310+00:00,1,1126930440,159468,0.00,23710,0,37
2026-09-05T02:55:53.214185+00:00,1,1126396920,159900,0.00,24774,3,37
2026-09-05T02:55:58.354786+00:00,1,1125671084,160552,0.00,25231,0,37
2026-09-05T02:56:03.501212+00:00,1,1125121304,160916,0.00,25840,3,37
2026-09-05T02:56:08.668679+00:00,1,1124524936,161336,0.00,26652,0,37
2026-09-05T02:56:13.809809+00:00,1,1124046312,161672,0.00,27366,3,37
2026-09-05T02:56:18.941288+00:00,1,1123040576,162024,0.00,28179,0,37
2026-09-05T02:56:24.085838+00:00,1,1115425048,162440,0.00,28786,0,37
2026-09-05T02:56:29.209666+00:00,1,1103027020,162964,0.00,29339,0,37
2026-09-05T02:56:34.329871+00:00,1,1104369152,163268,0.00,30414,0,37
2026-09-05T02:56:39.528292+00:00,1,1103919212,163692,0.00,31127,2,37
2026-09-05T02:56:44.672939+00:00,1,1101623068,164036,0.00,32003,3,37
2026-09-05T02:56:49.813902+00:00,1,1100791692,164572,0.00,32557,0,37
2026-09-05T02:56:54.945329+00:00,1,1098439196,165024,0.00,33271,0,37
2026-09-05T02:57:00.087869+00:00,1,1098063936,165436,0.00,33625,0,37
2026-09-05T02:57:05.236356+00:00,1,1097368816,165864,0.00,34439,0,37
2026-09-05T02:57:10.360155+00:00,1,1096216416,166124,0.00,34897,0,37
2026-09-05T02:57:15.496917+00:00,1,1095976200,166248,0.00,35503,0,37
2026-09-05T02:57:20.654611+00:00,1,1095412196,166308,0.00,36573,46,37
2026-09-05T02:57:25.773647+00:00,1,1094625180,166312,0.00,37287,2,37
2026-09-05T02:57:30.892937+00:00,1,1092330880,166316,0.00,38097,0,37
2026-09-05T02:57:36.030054+00:00,1,1091658568,166316,0.00,38709,2,37
2026-09-05T02:57:41.164762+00:00,1,1091108372,166316,0.00,39518,0,36
2026-09-05T02:57:46.326804+00:00,1,1090567844,166316,0.00,40232,0,36
2026-09-05T02:57:51.467636+00:00,1,1089016468,166328,0.00,40588,2,36
2026-09-05T02:57:56.607159+00:00,1,1088263540,166328,0.00,41402,0,36
2026-09-05T02:58:01.746034+00:00,1,1088014124,166328,0.00,42116,0,36
2026-09-05T02:58:06.875332+00:00,1,1087481576,166376,0.00,42466,0,36
2026-09-05T02:58:12.034671+00:00,1,1086819220,166376,0.00,43180,0,36
2026-09-05T02:58:17.228917+00:00,1,1085552308,166376,0.00,43536,3,36
2026-09-05T02:58:22.362729+00:00,1,1085758516,166380,0.00,44344,0,36
2026-09-05T02:58:27.493634+00:00,1,1084948432,166380,0.00,44802,3,36
2026-09-05T02:58:32.627382+00:00,1,1085011412,166380,0.00,45414,0,36
2026-09-05T02:58:37.799144+00:00,1,1084706740,166380,0.00,46222,46,37
2026-09-05T02:58:42.937286+00:00,1,1083656900,166380,0.00,46680,0,36
2026-09-05T02:58:48.079058+00:00,1,1081771968,166380,0.00,47293,0,36
2026-09-05T02:58:53.213257+00:00,1,1081251936,166384,0.00,48007,0,36
2026-09-05T02:58:58.347717+00:00,1,1081322460,166388,0.00,48815,0,36
2026-09-05T02:59:03.498339+00:00,1,1087536328,166424,0.00,49171,0,36
2026-09-05T02:59:08.636058+00:00,1,1091499408,166424,0.00,50241,41,38
2026-09-05T02:59:13.772219+00:00,1,1090890916,166424,0.00,50699,0,36
2026-09-05T02:59:18.915532+00:00,1,1090113928,166600,0.00,52627,1,44
2026-09-05T02:59:24.058185+00:00,1,1090317372,166928,0.00,57143,0,37
2026-09-05T02:59:29.232685+00:00,1,1090258796,166944,0.00,57143,0,37
2026-09-05T02:59:34.368681+00:00,1,1089785324,167036,0.00,57143,0,37
2026-09-05T02:59:39.499837+00:00,1,1090216836,167128,0.00,57143,77,39
2026-09-05T02:59:44.678312+00:00,1,1090166964,167196,0.00,57143,0,37
2026-09-05T02:59:49.823021+00:00,1,1089564060,167288,0.00,57145,100,47
2026-09-05T02:59:54.958466+00:00,1,1089794964,167396,0.00,57145,0,38
2026-09-05T03:00:00.089800+00:00,1,1089331944,167484,0.00,57145,91,41
2026-09-05T03:00:05.240903+00:00,1,1089708312,167596,0.00,57145,0,38
2026-09-05T03:00:10.382710+00:00,1,1089726368,167728,0.00,57145,74,41
