prepared_at	2026-08-07T19:49:10+08:00
branch	codex/ogpo-pi0-robotwin
head	5d5c84e3ac4efa1713a4139a05ac1b776e634ed3
upstream_left_right	0	0
source_config_sha256	f777a0caceacf260c427093fdb0a493f6bd77c3d444cf233a57727ce9027c291
norm_sha256	649ed92b431bd70627febdb00b2385e35fcab5088e72a4e4a4845585f8ce4f6a
resolved_sha256	ebd163f647d2a9399fdca007099fac550f6f344392162adc36eede129671f4eb
run_root	/root/autodl-tmp/experiments/ogpo_robotwin_smoke_20260807_v1
run_dir	/root/autodl-tmp/experiments/ogpo_robotwin_smoke_20260807_v1/robotwin_adjust_bottle_ogpo_ca_smoke_8env_1update_v1
runtime_root	/root/autodl-tmp/experiment_exports/ogpo_robotwin_smoke_20260807_v1/runtime
train_envs	8
train_policy_queries_nominal	8
train_primitive_rows_target	80
paired_updates_target	1
imagined_candidate_chains_target	512
eval_envs	4
eval_policy_queries	4
eval_primitive_slots	40
checkpoints_target	1
runner_cycles_nominal	1
runner_cycles_hard_cap	2
wall_timeout_seconds	1800
