global_step,max_steps,episode_len,num_trajectories,return,reward,success_once,advantages_max,advantages_mean,advantages_min,returns_max,returns_mean,returns_min,rewards,actor/approx_kl,actor/clip_fraction,actor/clipped_ratio,actor/entropy_loss,actor/grad_norm,actor/lr,actor/policy_loss,actor/policy_loss_abs,actor/ratio,actor/ratio_abs,actor/total_loss,critic/explained_variance,critic/lr,critic/value_clip_ratio,critic/value_loss,actor/run_training,generate_rollouts,step,sync_weights,env/env/bootstrap_step,env/env_interact_step,rollout/predict,success_pct,success_ma5,success_ma10
18,100,192.0,128.0,0.53125,0.0027669272,0.53125,1.687,1.4e-08,-1.343,1.0,0.47,-0.0051,0.003,-0.0022,0.011,1.002,0.0,17.981,5e-06,-0.07,0.976,1.004,0.023,0.000135,,0.00011,0.0,0.087,235.5,2338.8,2576.6,2.293,788.9,1358.1,159.8,53.125,45.15625,45.0
19,100,192.0,128.0,0.5078125,0.002644857,0.5078125,2.565,1.8e-08,-1.365,1.0,0.47,0.0,0.0028,0.0016,0.018,0.999,0.0,20.196,5e-06,-0.07,0.977,1.0,0.027,0.000124,,0.00011,0.0,0.086,234.9,2334.8,2572.2,2.5,798.0,1345.1,160.0,50.78125,46.40625,45.625
20,100,192.0,128.0,0.4296875,0.0022379558,0.4296875,1.766,9.87e-10,-1.23,1.0,0.41,0.0,0.0024,0.0017,0.014,0.996,0.0,19.437,5e-06,-0.072,0.974,0.996,0.024,0.000118,,0.00011,0.0,0.087,234.7,2354.9,2634.5,2.486,796.0,1366.6,160.3,42.96875,46.5625,44.609375
21,100,192.0,128.0,0.4765625,0.0024820964,0.4765625,1.836,1.79e-08,-1.384,1.0,0.432,-0.0022,0.0027,0.0041,0.013,0.996,0.0,18.106,5e-06,-0.071,0.97,0.996,0.025,0.000106,,0.00011,0.0,0.084,235.8,2344.6,2582.7,2.262,797.6,1356.1,158.7,47.65625,48.4375,45.625
22,100,192.0,128.0,0.4296875,0.0022379558,0.4296875,2.091,1.39e-08,-1.188,1.0,0.385,-0.0048,0.0024,0.0021,0.012,0.993,0.0,21.259,5e-06,-0.073,0.969,0.994,0.027,6.86e-05,,0.00011,0.0,0.082,234.9,2355.1,2592.2,2.262,798.5,1365.3,159.3,42.96875,47.5,45.390625
23,100,192.0,128.0,0.3984375,0.0020751953,0.3984375,2.767,1.86e-08,-1.099,1.0,0.361,-0.0066,0.0022,0.0025,0.017,0.995,0.0,18.999,5e-06,-0.064,0.96,0.996,0.028,0.00013,,0.00011,0.0,0.081,234.7,2368.0,2604.9,2.208,800.4,1375.9,159.3,39.84375,44.84375,45.0
24,100,192.0,128.0,0.5625,0.0029296875,0.5625,2.206,7.51e-09,-1.506,1.0,0.5,-0.006,0.0031,0.0028,0.0068,0.994,0.0,16.418,5e-06,-0.066,0.96,0.995,0.022,0.000169,,0.00011,0.0,0.087,235.5,2319.9,2557.7,2.338,796.9,1331.2,160.0,56.25,45.9375,46.171875
25,100,192.0,128.0,0.453125,0.0023600261,0.453125,2.504,-1.28e-08,-1.338,1.0,0.426,-0.0011,0.0025,0.0016,0.0093,0.994,0.0,20.134,5e-06,-0.057,0.962,0.994,0.026,0.000225,,0.00011,0.0,0.086,235.0,2381.7,2619.2,2.418,791.8,1397.9,160.3,45.3125,46.40625,46.484375
26,100,192.0,128.0,0.46875,0.0024414062,0.46875,2.355,2.57e-08,-1.251,1.0,0.438,-0.002,0.0026,0.000704,0.011,1.0,0.0,18.488,5e-06,-0.064,0.978,1.001,0.026,0.000158,,0.00011,0.0,0.084,234.9,2352.6,2589.8,2.263,792.3,1368.3,160.4,46.875,46.25,47.34375
27,100,192.0,128.0,0.46875,0.0024414065,0.46875,1.809,-2.98e-09,-1.272,1.0,0.425,-0.0036,0.0026,-0.000525,0.015,0.993,0.0,21.78,5e-06,-0.065,0.98,0.995,0.029,0.00014,,0.00011,0.0,0.083,234.3,2369.0,2605.7,2.348,794.4,1383.2,159.6,46.875,47.03125,47.265625
28,100,192.0,128.0,0.4765625,0.0024820962,0.4765625,1.83,-6.49e-09,-1.272,1.0,0.427,-0.0047,0.0027,0.0033,0.015,0.994,0.0,18.182,5e-06,-0.072,0.978,0.995,0.027,0.000112,,0.00011,0.0,0.086,234.4,2342.0,2578.6,2.222,795.2,1354.6,160.5,47.65625,48.59375,46.71875
29,100,192.0,128.0,0.453125,0.0023600261,0.453125,1.977,-2.73e-08,-1.396,1.0,0.411,-0.0037,0.0025,-0.002,0.01,0.998,0.0,19.017,5e-06,-0.068,0.961,1.0,0.026,0.000115,,0.00011,0.0,0.083,242.0,2263.5,2507.6,2.062,812.4,1256.4,162.6,45.3125,46.40625,46.171875
30,100,192.0,128.0,0.4921875,0.0025634768,0.4921875,2.46,-9.95e-09,-1.316,1.0,0.445,-0.0063,0.0027,0.0035,0.011,0.996,0.0,18.541,5e-06,-0.071,0.972,0.996,0.024,9.73e-05,,0.00011,0.0,0.083,243.2,2212.8,2499.8,2.227,824.2,1190.6,164.7,49.21875,47.1875,46.796875
31,100,192.0,128.0,0.40625,0.0021158853,0.40625,2.049,-5.92e-09,-1.241,1.0,0.377,-0.0028,0.0022,0.0035,0.016,0.995,0.0,16.795,5e-06,-0.073,0.957,0.994,0.025,6.81e-05,,0.00011,0.0,0.082,244.7,2237.1,2484.2,2.314,827.0,1212.3,164.6,40.625,45.9375,46.09375
32,100,192.0,128.0,0.3671875,0.001912435,0.3671875,2.385,1.88e-08,-1.197,1.0,0.336,-0.0047,0.002,0.000123,0.014,0.997,0.0,18.463,5e-06,-0.066,0.944,0.998,0.027,9.56e-05,,0.00011,0.0,0.079,247.0,2235.7,2485.3,2.641,822.7,1216.6,165.1,36.71875,43.90625,45.46875
33,100,192.0,128.0,0.4375,0.002278646,0.4375,1.895,-1.18e-08,-1.25,1.0,0.381,-0.012,0.0024,-0.0004,0.015,0.997,0.0,20.903,5e-06,-0.062,0.97,0.998,0.026,0.000182,,0.00011,0.0,0.085,244.9,2211.0,2458.3,2.393,846.0,1167.3,166.2,43.75,43.125,45.859375
