round,env/success_once,eval/success_once,time/step,time/generate_rollouts,time/actor_training,time/eval
1,0.5,,819.06884765625,359.83685302734375,449.1143798828125,
2,0.625,,779.514892578125,323.5550537109375,448.2710876464844,
3,0.53125,,768.9684448242188,313.674072265625,449.2865295410156,
4,0.5625,,757.53076171875,307.32464599609375,444.84893798828125,
5,0.5625,0.53125,1056.49560546875,299.2822265625,444.6567077636719,306.873779296875
6,0.4375,,783.0231323242188,340.5832214355469,440.5601501464844,
7,0.625,,767.4899291992188,320.198486328125,441.0104675292969,
8,0.5,,796.9376220703125,343.6225891113281,447.57012939453125,
9,0.53125,,755.28125,305.3201599121094,444.3860168457031,
10,0.71875,0.4375,1132.24365234375,311.52606201171875,448.9559326171875,337.8741455078125
11,0.6875,,788.9885864257812,345.5343322753906,442.0107727050781,
12,0.71875,,773.1973876953125,322.8210754394531,445.01348876953125,
13,0.625,,795.03271484375,338.5058898925781,449.6258239746094,
14,0.59375,,790.8596801757812,342.58404541015625,442.8957214355469,
15,0.75,0.5,1145.53369140625,352.4569396972656,448.20208740234375,339.3349609375
16,0.6875,,757.3660888671875,312.5088195800781,442.8478088378906,
17,0.6875,,801.7957153320312,349.8203430175781,446.98773193359375,
18,0.59375,,794.294189453125,343.6866455078125,443.8963317871094,
19,0.75,,785.497802734375,336.5773010253906,443.57403564453125,
20,0.78125,0.53125,1096.7376708984375,306.86590576171875,442.84765625,314.34832763671875
21,0.71875,,753.73828125,309.4983215332031,442.8468017578125,
22,0.59375,,781.7523803710938,330.9191589355469,444.5553894042969,
23,0.8125,,772.5745849609375,324.6773986816406,442.7734680175781,
24,0.625,,767.3850708007812,319.65936279296875,442.6079406738281,
25,0.59375,0.5,1106.524658203125,337.760498046875,440.80615234375,322.58642578125
26,0.65625,,754.5109252929688,302.61334228515625,450.0345764160156,
27,0.65625,,797.345458984375,345.79132080078125,445.324462890625,
28,0.71875,,754.0218505859375,306.0396728515625,441.4835205078125,
29,0.65625,,775.150146484375,328.0168762207031,441.8917541503906,
30,0.65625,0.59375,1142.1129150390625,343.8348083496094,440.92510986328125,322.9088134765625
31,0.6875,,760.90283203125,299.8454284667969,459.6464538574219,
32,0.625,,764.5916137695312,310.59344482421875,448.3958740234375,
33,0.8125,,780.3040771484375,332.8205261230469,442.1161193847656,
34,0.6875,,776.8300170898438,329.2351379394531,442.2482604980469,
35,0.5,0.46875,1109.114501953125,325.59295654296875,442.33734130859375,334.7413024902344
36,0.65625,,747.2546997070312,293.5473327636719,451.71612548828125,
37,0.5,,771.5418701171875,319.48272705078125,446.62969970703125,
38,0.65625,,765.110595703125,315.7552795410156,442.5997619628906,
39,0.75,,780.25537109375,329.8070983886719,445.197998046875,
40,0.65625,0.65625,1124.0059814453125,327.96136474609375,442.5547180175781,319.1589050292969
41,0.71875,,807.5956420898438,352.4763488769531,453.690185546875,
42,0.71875,,758.1455078125,294.9356384277344,458.0886535644531,
43,0.78125,,786.1861572265625,338.63116455078125,441.6308898925781,
44,0.71875,,797.9754028320312,350.13775634765625,442.30291748046875,
45,0.6875,0.625,1119.2664794921875,344.9056701660156,442.94622802734375,325.1916198730469
46,0.71875,,771.5447998046875,320.8109130859375,448.5979309082031,
47,0.71875,,744.3887329101562,285.4604187011719,453.7554626464844,
48,0.5625,,770.01513671875,317.828857421875,446.01654052734375,
49,0.625,,768.5344848632812,320.68389892578125,442.4246826171875,
50,0.875,0.375,1162.5963134765625,329.8079528808594,446.3307800292969,353.6263122558594
51,0.6875,,743.8673095703125,295.2538757324219,447.2108459472656,
52,0.75,,742.4478759765625,289.2322692871094,447.9963073730469,
53,0.71875,,781.37939453125,330.8006591796875,443.6063232421875,
54,0.8125,,768.9987182617188,320.869140625,442.9102478027344,
55,0.75,0.71875,1106.7674560546875,322.1474609375,442.9588317871094,335.3105773925781
56,0.625,,786.8214111328125,340.9276123046875,443.90985107421875,
57,0.65625,,759.0442504882812,302.654541015625,451.24517822265625,
58,0.65625,,759.7847290039062,309.45648193359375,445.1860046386719,
59,0.84375,,775.0158081054688,325.5521545410156,443.65130615234375,
60,0.71875,0.59375,1128.4677734375,324.3251953125,447.47528076171875,320.02142333984375
61,0.75,,797.787841796875,342.998779296875,453.27197265625,
62,0.78125,,772.2341918945312,320.892822265625,445.7481994628906,
63,0.6875,,766.2025146484375,315.20245361328125,444.36328125,
64,0.65625,,761.3034057617188,306.76739501953125,448.3098449707031,
65,0.71875,0.625,1076.5667724609375,293.45123291015625,446.22125244140625,331.0815734863281
66,0.65625,,779.8182373046875,336.6475524902344,441.2198181152344,
67,0.71875,,795.241455078125,336.666015625,453.49395751953125,
68,0.53125,,786.00244140625,322.8815612792969,457.71929931640625,
69,0.65625,,758.017333984375,308.152587890625,444.5410461425781,
