run,step,raw_pct,ma5_pct,ma10_pct,ma20_pct,fixed_eval_pct
pure04,32,0.0,15.0,15.0,10.625,
pure04,33,12.5,17.5,13.75,10.625,
pure04,34,12.5,15.0,12.5,10.625,
pure04,35,25.0,12.5,13.75,11.875,
pure04,36,37.5,17.5,17.5,13.75,
pure04,37,25.0,22.5,18.75,14.375,
pure04,38,25.0,25.0,21.25,15.625,
pure04,39,25.0,27.5,21.25,16.875,
pure04,40,12.5,25.0,18.75,16.875,
pure04,41,37.5,25.0,21.25,18.125,
pure04,42,12.5,22.5,22.5,18.75,
pure04,43,0.0,17.5,21.25,17.5,
pure04,44,37.5,20.0,23.75,18.125,
pure04,45,50.0,27.5,26.25,20.0,
pure04,46,12.5,22.5,23.75,20.625,
pure04,47,12.5,22.5,22.5,20.625,
pure04,48,0.0,22.5,20.0,20.625,
pure04,49,0.0,15.0,17.5,19.375,
pure04,50,12.5,7.5,17.5,18.125,0.0
pure04,51,37.5,12.5,17.5,19.375,
pure04,52,12.5,12.5,17.5,20.0,
pure04,53,12.5,15.0,18.75,20.0,
pure04,54,12.5,17.5,16.25,20.0,
pure04,55,12.5,17.5,12.5,19.375,
pure04,56,25.0,15.0,13.75,18.75,
pure04,57,25.0,17.5,15.0,18.75,
pure04,58,25.0,20.0,17.5,18.75,
pure04,59,37.5,25.0,21.25,19.375,
pure04,60,12.5,25.0,21.25,19.375,
pure04,61,12.5,22.5,18.75,18.125,
pure04,62,0.0,17.5,17.5,17.5,
pure04,63,0.0,12.5,16.25,17.5,
pure04,64,12.5,7.5,16.25,16.25,
pure04,65,37.5,12.5,18.75,15.625,
pure04,66,0.0,10.0,16.25,15.0,
pure04,67,25.0,15.0,16.25,15.625,
pure04,68,25.0,20.0,16.25,16.875,
pure04,69,0.0,17.5,12.5,16.875,
pure04,70,12.5,12.5,12.5,16.875,
pure04,71,0.0,12.5,11.25,15.0,
pure04,72,25.0,12.5,13.75,15.625,
pure04,73,37.5,15.0,17.5,16.875,
pure04,74,12.5,17.5,17.5,16.875,
pure04,75,0.0,15.0,13.75,16.25,0.0
pure04,76,12.5,17.5,15.0,15.625,
pure04,77,0.0,12.5,12.5,14.375,
pure04,78,0.0,5.0,10.0,13.125,
pure04,79,37.5,10.0,13.75,13.125,
pure04,80,0.0,10.0,12.5,12.5,
pure04,81,25.0,12.5,15.0,13.125,
pure04,82,12.5,15.0,13.75,13.75,
pure04,83,25.0,20.0,12.5,15.0,
pure04,84,0.0,12.5,11.25,14.375,
pure04,85,12.5,15.0,12.5,13.125,
pure04,86,37.5,17.5,15.0,15.0,
pure04,87,37.5,22.5,18.75,15.625,
pure04,88,0.0,17.5,18.75,14.375,
pure04,89,0.0,17.5,15.0,14.375,
pure04,90,37.5,22.5,18.75,15.625,
pure04,91,25.0,20.0,18.75,16.875,
pure04,92,12.5,15.0,18.75,16.25,
pure04,93,0.0,15.0,16.25,14.375,
pure04,94,25.0,20.0,18.75,15.0,
pure04,95,0.0,12.5,17.5,15.0,
pure04,96,25.0,12.5,16.25,15.625,
pure04,97,0.0,10.0,12.5,15.625,
pure04,98,0.0,10.0,12.5,15.625,
pure04,99,37.5,12.5,16.25,15.625,
